Country,Iso3,Population,Density,MedianAge
Saint Helena,SHN,5458.5,13.996153846153844,48.5469318093242
Saint Kitts and Nevis,KNA,46951.5,180.5826923076923,33.6726913571318
Anguilla,AIA,14823.5,168.44886363636363,35.4950292626559
Saint Lucia,LCA,177661.5,288.41152597402595,32.1604645510893
Saint Martin (French part),MAF,34266.5,646.5377358490566,38.57873895898
Saint Pierre and Miquelon,SPM,5876,25.547826086956523,44.5523542131561
Saint Vincent and the Grenadines,VCT,104167,267.0948717948718,32.7352742116613
San Marino,SMR,34653,568.0819672131148,45.3323591342688
Sao Tome and Principe,STP,213392,222.28333333333333,18.3200591482411
Saudi Arabia,SAU,30472811.5,14.175444598988692,28.4037976426522
Senegal,SEN,16352921.5,84.9370046226562,18.1601361006528
Serbia,SRB,6966152.5,90.7807613115096,43.1663180258266
Seychelles,SYC,117650.5,257.44091903719914,32.2385120984744
Sierra Leone,SLE,7731991,107.77796208530806,18.4002038385823
Singapore,SGP,5669562.5,8300.969985358712,34.186085508214
Slovakia,SVK,5450625.5,111.16239063487856,39.8045787720572
Viet Nam,VNM,97173775.5,310.05419595480663,30.5858807584327
Slovenia,SVN,2083439.5,103.45811401330818,42.9733939079794
Somalia,SOM,16030971,25.55387987375267,15.2139792658563
South Africa,ZAF,59587885.5,48.81000243280502,26.8728202157556
Zimbabwe,ZWE,15271367.5,39.476198785058806,17.1867946638079
Spain,ESP,47435119,94.42568188966348,43.138419081889
South Sudan,SSD,10423384,18.476066903480596,16.5941574205469
Sudan,SDN,45548175.5,25.805624054495475,17.6754573637864
Western Sahara,ESH,538440,2.0242105263157897,30.5616159196444
Suriname,SUR,605768,3.883128205128205,27.298210106892
Eswatini,SWZ,1179874,67.95334907562058,21.0118594782576
Sweden,SWE,10279125,25.23475475033142,39.5294816535227
Switzerland,CHE,8577524,214.48099619923985,41.581934905769
Syrian Arab Republic,SYR,20353534,110.79164988296772,19.8072714766935
Tajikistan,TJK,9529966,66.59654786862335,21.2757959438942
Thailand,THA,71522271,139.99544128873143,37.7141762945238
Togo,TGO,8463068,155.59970582827725,18.4088203908917
Tokelau,TKL,2014,167.83333333333331,25.7911214752071
Tonga,TON,105669.5,162.56846153846155,20.9235958220656
Trinidad and Tobago,TTO,1484894,289.4530214424951,34.7200122501381
United Arab Emirates,ARE,9377847.5,132.03772668393782,30.8340020704599
Tunisia,TUN,11875081,76.40147333204658,30.7560111594944
Türkiye,TUR,85357672,110.91115950540798,30.8251029706408
Turkmenistan,TKM,6803944.5,14.478634051880068,25.1303791715858
Turks and Caicos Islands,TCA,43165.5,45.43736842105263,36.651659357889
Tuvalu,TUV,10581,352.7,24.2729998502172
Uganda,UGA,42999637.5,215.20586115601552,15.6908656502655
Ukraine,UKR,44957458,77.60384243595941,40.4807324033481
North Macedonia,MKD,1897641,76.17071408501586,38.8611919304406
Egypt,EGY,107553158,108.04476166557838,23.3278002921854
United Kingdom,GBR,67110958,276.471457232194,39.0908849983669
Guernsey,GGY,62783.5,980.9921875,43.5659579114149
Jersey,JEY,102856.5,886.6939655172414,42.0555462445064
Isle of Man,IMN,83956.5,146.7770979020979,44.8312227470498
United Republic of Tanzania,TZA,59174891,66.80366966469971,16.8335537825291
United States of America,USA,337790066.5,36.92666108997197,37.0023622045719
United States Virgin Islands,VIR,89372.5,255.35,44.1372563252413
Burkina Faso,BFA,20961952.5,76.61532346491228,16.4442511727063
Uruguay,URY,3397205.5,19.614803459664195,34.7609925386943
Uzbekistan,UZB,32964701,77.49106958157029,26.3607791040578
Venezuela (Bolivarian Republic of),VEN,28938098,31.57646994636885,27.8539563749729
Wallis and Futuna Islands,WLF,11686,83.47142857142858,35.0556801884496
Samoa,WSM,209779.5,74.12703180212014,20.4203345795426
Yemen,YEM,35111407.5,66.50265640093187,18.0168101297755
Zambia,ZMB,18513839.5,24.904611980252625,16.7629379847139
